age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y,previously_contacted,days_since_previous_contact,age_band,balance_band,call_duration_seconds_post_call
58,management,married,tertiary,no,2143,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1000_plus,261
44,technician,single,secondary,no,29,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,151
33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,76
47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1000_plus,92
33,unknown,single,unknown,no,1,no,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,198
35,management,married,tertiary,no,231,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,139
28,management,single,tertiary,no,447,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,under_30,1_999,217
42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,380
58,retired,married,primary,no,121,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,50
43,technician,single,secondary,no,593,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,55
41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,222
29,admin.,single,secondary,no,390,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,under_30,1_999,137
53,technician,married,secondary,no,6,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,517
58,technician,married,unknown,no,71,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,71
57,services,married,secondary,no,162,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,174
51,retired,married,primary,no,229,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,353
45,admin.,single,unknown,no,13,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,98
57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,38
60,retired,married,primary,no,60,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,60_plus,1_999,219
33,services,married,secondary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,zero,54
28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,under_30,1_999,262
56,management,married,tertiary,no,779,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,164
32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,160
25,services,married,secondary,no,50,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,under_30,1_999,342
40,retired,married,primary,no,0,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,30_44,zero,181
44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,negative,172
39,management,single,tertiary,no,255,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,296
52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,127
46,management,single,secondary,no,-246,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,45_59,negative,255
36,technician,single,secondary,no,265,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,348
57,technician,married,secondary,no,839,no,yes,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,225
49,management,married,tertiary,no,378,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,230
60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,60_plus,1_999,208
59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,zero,226
51,management,married,tertiary,no,10635,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1000_plus,336
57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,242
25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,under_30,negative,365
53,technician,married,secondary,no,-3,no,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,negative,1666
36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,577
37,admin.,single,secondary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,zero,137
